
 Params: N = 45 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.052135467529297 | Max Price: 19.60227394104004
 Params: N = 50 | d = 1 | type of data: real| Becker Hist Avg price = 6.870489597320557 | Max Price: 20.31998062133789
 Params: N = 50 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.988471031188965 | Max Price: 20.30571174621582
 Params: N = 55 | d = 1 | type of data: real| Becker Hist Avg price = 6.843938827514648 | Max Price: 20.961179733276367
 Params: N = 55 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.999687671661377 | Max Price: 21.022552490234375
 Params: N = 60 | d = 1 | type of data: real| Becker Hist Avg price = 7.033326148986816 | Max Price: 21.639297485351562
 Params: N = 60 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.135467529296875 | Max Price: 21.65503692626953
 Params: N = 65 | d = 1 | type of data: real| Becker Hist Avg price = 6.96571159362793 | Max Price: 22.18832778930664
 Params: N = 65 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.142738342285156 | Max Price: 22.21389389038086
 Params: N = 70 | d = 1 | type of data: real| Becker Hist Avg price = 7.092639446258545 | Max Price: 22.700040817260742
 Params: N = 70 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.105813503265381 | Max Price: 22.725427627563477
 Params: N = 75 | d = 1 | type of data: real| Becker Hist Avg price = 7.01995325088501 | Max Price: 23.248306274414062
 Params: N = 75 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.060318470001221 | Max Price: 23.251203536987305
 Params: N = 80 | d = 1 | type of data: real| Becker Hist Avg price = 6.684896469116211 | Max Price: 23.59210968017578
 Params: N = 80 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.9412384033203125 | Max Price: 23.591228485107422
 Params: N = 85 | d = 1 | type of data: real| Becker Hist Avg price = 6.776440620422363 | Max Price: 24.044727325439453
 Params: N = 85 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.800145149230957 | Max Price: 24.052825927734375
 Params: N = 90 | d = 1 | type of data: real| Becker Hist Avg price = 6.658023357391357 | Max Price: 24.427825927734375
 Params: N = 90 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.671060085296631 | Max Price: 24.431896209716797
 Params: N = 95 | d = 1 | type of data: real| Becker Hist Avg price = 6.501251220703125 | Max Price: 24.84393882751465
 Params: N = 95 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.483529090881348 | Max Price: 24.840211868286133
 Params: N = 100 | d = 1 | type of data: real| Becker Hist Avg price = 6.58694314956665 | Max Price: 25.22081756591797
 Params: N = 100 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.499541282653809 | Max Price: 25.223115921020508
 Params: N = 10 | d = 1 | type of data: harmonic| Becker Hist Avg price = 29.5084285736084 | Max Price: 51.79225540161133
 Params: N = 10 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 29.42327308654785 | Max Price: 51.645179748535156
 Params: N = 40 | d = 1 | type of data: harmonic| Becker Hist Avg price = 51.545738220214844 | Max Price: 154.169189453125
 Params: N = 40 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 71.50262451171875 | Max Price: 154.44874572753906
 Params: N = 70 | d = 1 | type of data: harmonic| Becker Hist Avg price = 95.53570556640625 | Max Price: 242.73902893066406
 Params: N = 70 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 77.06834411621094 | Max Price: 242.21437072753906
 Params: N = 100 | d = 1 | type of data: harmonic| Becker Hist Avg price = 45.0133056640625 | Max Price: 326.4556579589844
 Params: N = 100 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 202.77728271484375 | Max Price: 326.2701110839844
 Params: N = 130 | d = 1 | type of data: harmonic| Becker Hist Avg price = 172.83946228027344 | Max Price: 407.8267517089844
 Params: N = 130 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 101.10662078857422 | Max Price: 407.3439025878906
 Params: N = 160 | d = 1 | type of data: harmonic| Becker Hist Avg price = 81.29557037353516 | Max Price: 487.4559631347656
 Params: N = 160 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 276.1288757324219 | Max Price: 487.7561340332031
 Params: N = 190 | d = 1 | type of data: harmonic| Becker Hist Avg price = 15.845367431640625 | Max Price: 566.253173828125
 Params: N = 190 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 145.94491577148438 | Max Price: 566.2227783203125
 Params: N = 220 | d = 1 | type of data: harmonic| Becker Hist Avg price = 43.5971565246582 | Max Price: 644.174072265625
 Params: N = 220 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 435.75836181640625 | Max Price: 644.3340454101562
 Params: N = 250 | d = 1 | type of data: harmonic| Becker Hist Avg price = 39.09394073486328 | Max Price: 721.33984375
